State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Ohio,2022,4.0,47.0,210.0,1247.0,2818.0,4065.0,0.0,2.0,2.0,4.0,28.0,44.0,72.0,3157.0
Oklahoma,2022,9.0,112.0,95.0,340.0,1093.0,1433.0,0.0,0.0,0.0,0.0,34.0,80.0,114.0,1423.0
Oregon,2022,34.0,14.0,5.0,1009.0,2475.0,3484.0,0.0,0.0,0.0,2.0,28.0,15.0,43.0,2573.0
Pennsylvania,2022,4.0,86.0,172.0,1326.0,3251.0,4577.0,0.0,0.0,0.0,2.0,40.0,42.0,82.0,3597.0
Rhode Island,2022,3.0,1.0,0.0,297.0,783.0,1080.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,792.0
South Carolina,2022,32.0,11.0,60.0,413.0,978.0,1391.0,0.0,0.0,0.0,1.0,21.0,25.0,46.0,1128.0
South Dakota,2022,0.0,0.0,81.0,69.0,176.0,245.0,0.0,0.0,0.0,0.0,4.0,12.0,16.0,273.0
Tennessee,2022,7.0,18.0,93.0,695.0,1683.0,2378.0,0.0,0.0,0.0,4.0,27.0,26.0,53.0,1858.0
Texas,2022,11.0,86.0,262.0,2471.0,6332.0,8803.0,0.0,0.0,0.0,15.0,170.0,193.0,363.0,7069.0
Utah,2022,1.0,42.0,1.0,780.0,1853.0,2633.0,0.0,0.0,0.0,1.0,21.0,15.0,36.0,1934.0
Vermont,2022,2.0,2.0,0.0,351.0,898.0,1249.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,903.0
Virginia,2022,7.0,22.0,72.0,1221.0,3643.0,4864.0,0.0,1.0,1.0,1.0,40.0,42.0,82.0,3828.0
Washington,2022,21.0,25.0,12.0,1784.0,4533.0,6317.0,0.0,1.0,1.0,1.0,52.0,19.0,71.0,4664.0
West Virginia,2022,1.0,2.0,38.0,137.0,385.0,522.0,0.0,0.0,0.0,0.0,6.0,11.0,17.0,443.0
Wisconsin,2022,23.0,43.0,257.0,470.0,1101.0,1571.0,0.0,0.0,0.0,1.0,21.0,32.0,53.0,1478.0
Wyoming,2022,0.0,9.0,8.0,86.0,214.0,300.0,0.0,0.0,0.0,0.0,4.0,12.0,16.0,247.0
Total,2022,1196.0,1390.0,4452.0,53568.0,144227.0,197795.0,52.0,19.0,71.0,98.0,1271.0,1429.0,2700.0,154134.0
Alabama,2021,10.0,30.0,33.0,277.0,682.0,959.0,0.0,0.0,0.0,2.0,26.0,42.0,68.0,825.0
Alaska,2021,0.0,1.0,0.0,52.0,94.0,146.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,97.0
Arizona,2021,76.0,30.0,20.0,890.0,2259.0,3149.0,0.0,1.0,1.0,7.0,36.0,33.0,69.0,2462.0
Arkansas,2021,17.0,15.0,70.0,164.0,463.0,627.0,0.0,0.0,0.0,0.0,9.0,26.0,35.0,600.0
California,2021,27.0,323.0,271.0,14607.0,41237.0,55844.0,47.0,5.0,52.0,41.0,135.0,126.0,261.0,42212.0
Colorado,2021,6.0,31.0,96.0,1619.0,3992.0,5611.0,0.0,1.0,1.0,1.0,26.0,24.0,50.0,4177.0
Connecticut,2021,1.0,17.0,3.0,533.0,1430.0,1963.0,0.0,1.0,1.0,0.0,10.0,10.0,20.0,1472.0
Delaware,2021,0.0,2.0,2.0,134.0,314.0,448.0,0.0,1.0,1.0,0.0,6.0,3.0,9.0,328.0
District of Columbia,2021,8.0,2.0,4.0,291.0,826.0,1117.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,846.0
Florida,2021,8.0,56.0,112.0,2636.0,6748.0,9384.0,0.0,0.0,0.0,3.0,75.0,64.0,139.0,7066.0
Georgia,2021,4.0,46.0,67.0,1585.0,3947.0,5532.0,0.0,0.0,0.0,4.0,35.0,47.0,82.0,4150.0
Hawaii,2021,8.0,0.0,1.0,386.0,839.0,1225.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,851.0
Idaho,2021,0.0,11.0,5.0,139.0,345.0,484.0,0.0,0.0,0.0,0.0,10.0,14.0,24.0,385.0
Illinois,2021,19.0,39.0,304.0,1079.0,2764.0,3843.0,0.0,0.0,0.0,2.0,40.0,51.0,91.0,3219.0
Indiana,2021,7.0,31.0,247.0,357.0,971.0,1328.0,0.0,0.0,0.0,1.0,24.0,24.0,48.0,1305.0
Iowa,2021,8.0,11.0,341.0,281.0,584.0,865.0,0.0,0.0,0.0,0.0,25.0,11.0,36.0,980.0
Kansas,2021,7.0,21.0,63.0,493.0,1017.0,1510.0,0.0,0.0,0.0,1.0,6.0,28.0,34.0,1143.0
Kentucky,2021,2.0,9.0,76.0,225.0,532.0,757.0,0.0,0.0,0.0,1.0,4.0,16.0,20.0,640.0
Louisiana,2021,2.0,22.0,22.0,159.0,385.0,544.0,0.0,0.0,0.0,1.0,12.0,38.0,50.0,482.0
Maine,2021,1.0,2.0,0.0,301.0,639.0,940.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,650.0
Maryland,2021,27.0,15.0,46.0,1257.0,3430.0,4687.0,0.0,0.0,0.0,0.0,18.0,15.0,33.0,3551.0
Massachusetts,2021,1.0,13.0,6.0,2176.0,4871.0,7047.0,0.0,2.0,2.0,0.0,19.0,11.0,30.0,4923.0
Michigan,2021,10.0,23.0,244.0,817.0,1799.0,2616.0,1.0,1.0,2.0,0.0,34.0,53.0,87.0,2165.0
Minnesota,2021,157.0,23.0,453.0,586.0,1385.0,1971.0,0.0,0.0,0.0,0.0,27.0,22.0,49.0,2067.0
